Name,Rank,early_pay,mid_pay
Princeton University,1,74300,141500
Harvard University,2,71400,127000
University of Chicago,3,57900,117700
Yale University,3,70700,145800
Columbia University,5,NA,NA
Stanford University,5,71200,119600
Massachusetts Institute of Technology,7,NA,NA
Duke University,8,67600,125800
University of Pennsylvania,8,69600,126300
Johns Hopkins University,10,59200,104900
Dartmouth College,11,71100,132500
California Institute of Technology,12,NA,NA
Northwestern University,12,63500,117100
Brown University,14,69900,126300
Cornell University,15,70400,128600
Rice University,15,NA,NA
University of Notre Dame,15,63700,130900
Vanderbilt University,15,66700,117800
Washington University in St Louis,19,61500,112000
Emory University,20,60200,112000
Georgetown University,20,67000,121100
University of California-Berkeley,20,64400,125300
University of Southern California,23,59300,114400
Carnegie Mellon University,24,65400,111700
University of California-Los Angeles,24,57900,109400
University of Virginia,24,60200,120500
Tufts University,27,67200,118100
University of Michigan-Ann Arbor,27,57200,107000
Wake Forest University,27,59900,113300
University of North Carolina-Chapel Hill,30,NA,NA
Boston College,31,63400,127400
College of William & Mary,32,NA,NA
University of Rochester,32,57900,109800
Brandeis University,34,61300,118900
Georgia Institute of Technology,34,NA,NA
New York University,36,59300,108300
Case Western Reserve University,37,NA,NA
University of California-Santa Barbara,37,57200,115900
Boston University,39,56000,105600
Northeastern University,39,57200,98000
Rensselaer Polytechnic Institute,39,NA,NA
Tulane University,39,NA,NA
University of California-Irvine,39,56100,109600
Lehigh University,44,NA,NA
University of California-Davis,44,58400,111100
University of California-San Diego,44,58900,116500
University of Illinois Urbana-Champaign,44,54500,100800
University of Miami,44,NA,NA
University of Wisconsin-Madison,44,54300,100100
Pepperdine University,50,NA,NA
University of Florida,50,52800,105000
Villanova University,50,59200,104600
Pennsylvania State University-University Park,50,NA,NA
Ohio State University-Columbus,54,NA,NA
University of Washington,54,NA,NA
George Washington University,56,59700,113600
Southern Methodist University,56,58800,106400
University of Georgia,56,54300,104800
University of Texas-Austin,56,NA,NA
Fordham University,60,60500,114600
Purdue University-West Lafayette,60,NA,NA
Syracuse University,60,59200,109000
University of Connecticut,60,54500,100600
University of Maryland-College Park,60,58600,100900
Worcester Polytechnic Institute,60,NA,NA
Clemson University,66,NA,NA
Yeshiva University,66,NA,NA
Brigham Young University-Provo,68,NA,NA
University of Pittsburgh,68,NA,NA
Rutgers University-New Brunswick,70,56100,105400
Baylor University,71,NA,NA
Stevens Institute of Technology,71,NA,NA
University of Minnesota-Twin Cities,71,NA,NA
American University,74,56400,105400
Clark University,74,54900,105900
Texas A&M University-College Station,74,NA,NA
University of Massachusetts-Amherst,74,NA,NA
Virginia Tech,74,NA,NA
Miami University-Oxford,79,53500,101000
University of California-Santa Cruz,79,55800,97700
University of Delaware,79,55000,105100
Colorado School of Mines,82,NA,NA
Michigan State University,82,NA,NA
Texas Christian University,82,NA,NA
University of Iowa,82,51700,95400
Binghamton University-SUNY,86,NA,NA
Indiana University-Bloomington,86,NA,NA
Marquette University,86,50600,103700
University of Denver,86,53100,102900
University of San Diego,86,53100,104000
University of Tulsa,86,NA,NA
Florida State University,92,NA,NA
North Carolina State University-Raleigh,92,NA,NA
University of Colorado-Boulder,92,NA,NA
University of Vermont,92,51900,97600
Drexel University,96,NA,NA
Saint Louis University,96,NA,NA
Stony Brook University-SUNY,96,NA,NA
Auburn University,99,51300,96000
Loyola University Chicago,99,50000,95600
SUNY College of Environmental Science and Forestry,99,NA,NA
University at Buffalo-SUNY,99,NA,NA
Illinois Institute of Technology,103,NA,NA
University of Alabama,103,NA,NA
University of Oregon,103,52400,101800
University of Tennessee,103,NA,NA
Rochester Institute of Technology,107,NA,NA
University of New Hampshire,107,50800,96400
University of San Francisco,107,59000,106100
University of South Carolina,107,NA,NA
Iowa State University,111,NA,NA
University of Dayton,111,NA,NA
University of Missouri,111,NA,NA
University of Nebraska-Lincoln,111,NA,NA
University of Oklahoma,111,NA,NA
University of the Pacific,111,53800,99100
University of Utah,111,49800,98100
Michigan Technological University,118,NA,NA
Seton Hall University,118,NA,NA
Temple University,118,NA,NA
University of California-Riverside,118,49600,95400
University of Kansas,118,NA,NA
University of St. Thomas,118,NA,NA
The Catholic University of America,124,NA,NA
DePaul University,124,51600,98500
Duquesne University,124,NA,NA
Howard University,124,58000,96400
University of Arizona,124,NA,NA
Arizona State University-Tempe,129,NA,NA
Clarkson University,129,NA,NA
Colorado State University,129,NA,NA
New School,129,NA,NA
Hofstra University,133,52100,105600
University of Kentucky,133,NA,NA
Kansas State University,135,NA,NA
Louisiana State University-Baton Rouge,135,NA,NA
Mercer University,135,NA,NA
New Jersey Institute of Technology,135,NA,NA
Rutgers University-Newark,135,51800,98200
University of Arkansas,135,NA,NA
University of Cincinnati,135,NA,NA
University of Mississippi,135,NA,NA
George Mason University,143,55200,105700
Oregon State University,143,NA,NA
Washington State University,143,NA,NA
Adelphi University,146,NA,NA
Ohio University,146,NA,NA
San Diego State University,146,50900,96900
St. John Fisher College,146,NA,NA
University at Albany-SUNY,146,NA,NA
University of Texas-Dallas,146,NA,NA
Illinois State University,152,49100,99500
Immaculata University,152,NA,NA
Oklahoma State University,152,NA,NA
University of California-Merced,152,NA,NA
University of Illinois-Chicago,152,NA,NA
University of La Verne,152,NA,NA
University of Massachusetts-Lowell,152,NA,NA
Seattle Pacific University,159,NA,NA
University of Alabama-Birmingham,159,NA,NA
University of Maryland-Baltimore County,159,52400,96200
University of Rhode Island,159,55200,97100
University of South Florida,159,NA,NA
Biola University,164,NA,NA
Maryville University of St Louis,164,NA,NA
Missouri University of Science & Technology,164,NA,NA
St. John's University,164,NA,NA
Virginia Commonwealth University,164,NA,NA
Union University,169,NA,NA
University of Hawaii-Manoa,169,NA,NA
Edgewood College,171,NA,NA
Florida Institute of Technology,171,NA,NA
University of Idaho,171,NA,NA
University of Louisville,171,NA,NA
University of Wyoming,171,NA,NA
Ball State University,176,NA,NA
Lipscomb University,176,NA,NA
Mississippi State University,176,NA,NA
Montclair State University,176,NA,NA
Texas Tech University,176,NA,NA
University of Central Florida,176,NA,NA
University of New Mexico,176,NA,NA
Andrews University,183,NA,NA
Azusa Pacific University,183,NA,NA
University of Maine,183,NA,NA
West Virginia University,183,51000,97000
Widener University,183,NA,NA
Kent State University,188,NA,NA
North Dakota State University,188,NA,NA
Pace University,188,56900,98700
Robert Morris University,188,NA,NA
